ano_eleicao,nr_turno,nr_turno_str,codigo_uf,sg_uf,nm_uf,regiao,cand_partido_1,cand_partido_2,candidato_1,candidato_2,partido_1,partido_2,situacao_1,situacao_2,votos_1,votos_2,votos_total,perc_1,perc_2,diferenca_pp,diferenca_absoluta,qtd_elei_2022,perc_elei_2022,perc_elei_2022_opacity,qtd_elei_2022_str,perc_elei_2022_str
2002,2,2º turno,13,AM,Amazonas,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,722.034 votos,311.175 votos,1.033.209 votos,"69,88","30,12","+39,76 p.p.", +410.859 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2006,1,1º turno,13,AM,Amazonas,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,1.070.656 votos,170.785 votos,1.371.508 votos,"78,06","12,45","+65,61 p.p.", +899.871 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2006,2,2º turno,13,AM,Amazonas,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.159.709 votos,176.338 votos,1.336.047 votos,"86,8","13,2","+73,6 p.p.", +983.371 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2010,1,1º turno,13,AM,Amazonas,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,991.128 votos,129.190 votos,1.525.174 votos,"64,98","8,47","+56,51 p.p.", +861.938 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2010,2,2º turno,13,AM,Amazonas,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.141.607 votos,275.333 votos,1.416.940 votos,"80,57","19,43","+61,14 p.p.", +866.274 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2014,2,2º turno,13,AM,Amazonas,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,1.033.457 votos,556.545 votos,1.590.002 votos,65,35,+30 p.p., +476.912 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2014,1,1º turno,13,AM,Amazonas,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,915.299 votos,326.257 votos,1.679.115 votos,"54,51","19,43","+35,08 p.p.", +589.042 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2018,1,1º turno,13,AM,Amazonas,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,746.998 votos,805.902 votos,1.853.591 votos,"40,3","43,48","-3,18 p.p.",-58.904 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2018,2,2º turno,13,AM,Amazonas,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,875.845 votos,885.401 votos,1.761.246 votos,"49,73","50,27","-0,54 p.p.",-9.556 votos,2.647.748,"1,69%",1.69,A UF tem 2.647.748 eleitores em 2022,"Isso equivale a 1,69% dos eleitores do Brasil"
2002,2,2º turno,16,AP,Amapá,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,171.850 votos,55.723 votos,227.573 votos,"75,51","24,49","+51,02 p.p.", +116.127 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2002,1,1º turno,16,AP,Amapá,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,116.507 votos,20.537 votos,233.273 votos,"49,94","8,8","+41,14 p.p.", +95.970 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2006,2,2º turno,16,AP,Amapá,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,191.698 votos,80.601 votos,272.299 votos,"70,4","29,6","+40,8 p.p.", +111.097 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2006,1,1º turno,16,AP,Amapá,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,160.675 votos,95.070 votos,295.379 votos,"54,4","32,19","+22,21 p.p.", +65.605 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2010,2,2º turno,16,AP,Amapá,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,198.644 votos,118.360 votos,317.004 votos,"62,66","37,34","+25,32 p.p.", +80.284 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2010,1,1º turno,16,AP,Amapá,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,161.443 votos,72.774 votos,340.740 votos,"47,38","21,36","+26,02 p.p.", +88.669 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2014,2,2º turno,16,AP,Amapá,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,227.509 votos,142.780 votos,370.289 votos,"61,44","38,56","+22,88 p.p.", +84.729 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2014,1,1º turno,16,AP,Amapá,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,199.016 votos,99.125 votos,389.599 votos,"51,08","25,44","+25,64 p.p.", +99.891 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2018,2,2º turno,16,AP,Amapá,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,183.616 votos,185.096 votos,368.712 votos,"49,8","50,2","-0,4 p.p.",-1.480 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2018,1,1º turno,16,AP,Amapá,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,134.287 votos,166.935 votos,409.757 votos,"32,77","40,74","-7,97 p.p.",-32.648 votos,550.687,"0,35%",0.35,A UF tem 550.687 eleitores em 2022,"Isso equivale a 0,35% dos eleitores do Brasil"
2002,2,2º turno,29,BA,Bahia,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,3.710.900 votos,1.937.780 votos,5.648.680 votos,"65,69","34,31","+31,38 p.p.", +1.773.120 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2002,1,1º turno,29,BA,Bahia,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,2.899.280 votos,884.291 votos,5.245.047 votos,"55,28","16,86","+38,42 p.p.", +2.014.989 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2006,1,1º turno,29,BA,Bahia,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,4.293.200 votos,1.676.484 votos,6.441.057 votos,"66,65","26,03","+40,62 p.p.", +2.616.716 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2006,2,2º turno,29,BA,Bahia,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,5.188.314 votos,1.456.417 votos,6.644.731 votos,"78,08","21,92","+56,16 p.p.", +3.731.897 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2010,1,1º turno,29,BA,Bahia,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,4.188.099 votos,1.403.153 votos,6.687.901 votos,"62,62","20,98","+41,64 p.p.", +2.784.946 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2010,2,2º turno,29,BA,Bahia,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,4.737.079 votos,1.948.584 votos,6.685.663 votos,"70,85","29,15","+41,7 p.p.", +2.788.495 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2014,2,2º turno,29,BA,Bahia,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,5.059.860 votos,2.153.111 votos,7.212.971 votos,"70,15","29,85","+40,3 p.p.", +2.906.749 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2014,1,1º turno,29,BA,Bahia,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,4.292.850 votos,1.277.512 votos,6.987.943 votos,"61,43","18,28","+43,15 p.p.", +3.015.338 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2018,1,1º turno,29,BA,Bahia,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,4.441.955 votos,1.725.140 votos,7.368.545 votos,"60,28","23,41","+36,87 p.p.", +2.716.815 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2018,2,2º turno,29,BA,Bahia,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,5.484.901 votos,2.060.382 votos,7.545.283 votos,"72,69","27,31","+45,38 p.p.", +3.424.519 votos,11.291.528,"7,22%",7.22,A UF tem 11.291.528 eleitores em 2022,"Isso equivale a 7,22% dos eleitores do Brasil"
2002,2,2º turno,-,BR,Brasil,-,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,52.772.592 votos,33.356.997 votos,86.129.589 votos,"61,27","38,73","+22,54 p.p.", +19.415.595 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2002,1,1º turno,-,BR,Brasil,-,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,39.436.640 votos,19.695.227 votos,84.915.378 votos,"46,44","23,19","+23,25 p.p.", +19.741.413 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2006,2,2º turno,-,BR,Brasil,-,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,58.295.042 votos,37.543.178 votos,95.838.220 votos,"60,83","39,17","+21,66 p.p.", +20.751.864 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2006,1,1º turno,-,BR,Brasil,-,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,46.662.365 votos,39.968.369 votos,95.996.733 votos,"48,61","41,64","+6,97 p.p.", +6.693.996 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2010,2,2º turno,-,BR,Brasil,-,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,Eleito,Não eleito,55.752.529 votos,43.711.388 votos,99.463.917 votos,"56,05","43,95","+12,1 p.p.", +12.041.141 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2010,1,1º turno,-,BR,Brasil,-,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,47.651.434 votos,33.132.283 votos,101.590.153 votos,"46,91","32,61","+14,3 p.p.", +14.519.151 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2014,2,2º turno,-,BR,Brasil,-,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,54.501.118 votos,51.041.155 votos,105.542.273 votos,"51,64","48,36","+3,28 p.p.", +3.459.963 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2014,1,1º turno,-,BR,Brasil,-,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,43.267.668 votos,34.897.211 votos,104.023.802 votos,"41,59","33,55","+8,04 p.p.", +8.370.457 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2018,2,2º turno,-,BR,Brasil,-,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,47.040.906 votos,57.797.847 votos,104.838.753 votos,"44,87","55,13","-10,26 p.p.",-10.756.941 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2018,1,1º turno,-,BR,Brasil,-,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,31.342.051 votos,49.277.010 votos,107.050.749 votos,"29,28","46,03","-16,75 p.p.",-17.934.959 votos,156.454.011,-,-,O Brasil tem 156.454.011 eleitores em 2022,-
2002,1,1º turno,23,CE,Ceará,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,1.353.339 votos,293.425 votos,3.438.374 votos,"39,36","8,53","+30,83 p.p.", +1.059.914 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2002,2,2º turno,23,CE,Ceará,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,2.497.143 votos,981.609 votos,3.478.752 votos,"71,78","28,22","+43,56 p.p.", +1.515.534 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2006,1,1º turno,23,CE,Ceará,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,2.852.895 votos,912.726 votos,4.005.498 votos,"71,22","22,79","+48,43 p.p.", +1.940.169 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2006,2,2º turno,23,CE,Ceará,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,3.394.007 votos,725.990 votos,4.119.997 votos,"82,38","17,62","+64,76 p.p.", +2.668.017 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2010,1,1º turno,23,CE,Ceará,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.783.451 votos,686.891 votos,4.198.511 votos,"66,3","16,36","+49,94 p.p.", +2.096.560 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2010,2,2º turno,23,CE,Ceará,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,3.288.570 votos,962.729 votos,4.251.299 votos,"77,35","22,65","+54,7 p.p.", +2.325.841 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2014,1,1º turno,23,CE,Ceará,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,3.087.658 votos,677.587 votos,4.522.185 votos,"68,28","14,98","+53,3 p.p.", +2.410.071 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2014,2,2º turno,23,CE,Ceará,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,3.522.884 votos,1.068.169 votos,4.591.053 votos,"76,73","23,27","+53,46 p.p.", +2.454.715 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2018,2,2º turno,23,CE,Ceará,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,3.407.526 votos,1.384.591 votos,4.792.117 votos,"71,11","28,89","+42,22 p.p.", +2.022.935 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2018,1,1º turno,23,CE,Ceará,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,1.616.492 votos,1.061.075 votos,4.880.155 votos,"33,12","21,74","+11,38 p.p.", +555.417 votos,6.820.673,"4,36%",4.36,A UF tem 6.820.673 eleitores em 2022,"Isso equivale a 4,36% dos eleitores do Brasil"
2002,2,2º turno,53,DF,Distrito Federal,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,777.708 votos,471.485 votos,1.249.193 votos,"62,26","37,74","+24,52 p.p.", +306.223 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
2002,1,1º turno,53,DF,Distrito Federal,Região Centro-Oeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,592.977 votos,202.410 votos,1.208.415 votos,"49,07","16,75","+32,32 p.p.", +390.567 votos,2.203.045,"1,41%",1.41,A UF tem 2.203.045 eleitores em 2022,"Isso equivale a 1,41% dos eleitores do Brasil"
